name	number	position	feet	inches	pounds	month	day	year	nothing	college	nationality
Dougherty, Mark	1	GK	6	2	180	11	7	67		Fresno State	USA
Dougherty, Paul	4	M	5	3	130	5	12	66		UC San Diego	USA
Doyle, John	2	D	6	3	185	4	16	66		San Francisco	USA
Draguicevich, Oscar	2	D	6	1	180	8	19	69		North Texas	USA
Droze, Derk	6	F	5	10	155	10	29	72			USA
Duhaney, Mike	2	D	5	11	165	4	5	74		UNLV	USA
East, Kevin	1	GK	6	2	195	3	29	71			USA
Eastman, Gabe	2	D	6	0	185	3	7	77		Modesto JC	USA
Echeverry, Gerson	6	F	5	11	175	3	16	76			USA
Eck, Ted	4	M	6	1	190	7	14	66		Western Illinois	USA
Edwards, Ryan	6	F				1	28	76			USA
Edwards, Troy	2	D	6	0	195	1	21	64		FIU	USA
Eichmann, Eric	6	F	5	10	170	5	7	65		Clemson	USA
Ekeme, Samuel	2	D	5	10	165	7	12	68		Abroad	Cameroon
Elcock, Ansil	2	D	5	11	160	3	17	69		Abroad	Trinidad
Elliott, Gerell	4	M	5	11	150	5	11	70		Fresno State	USA
Emenalo, Michael	4	M	6	0	170	7	14	65		Boston University	Nigeria
Eriksson, Jan	2	D	6	0	170	8	24	67		Abroad	Sweden
Espinoza, Missael	6	F	5	8	155	4	12	65		Abroad	Mexico
Evans, Justin	4	M	6	1	170	1	31	77		St. Bonaventure	USA
Eyre, Adam	2	D	6	1	180	1	7	78		Santa Clara	USA
Fahim, Mohammed	6	F				6	11	79			
Farias, Alejandro	4	M	5	9	157	1	28	70		Abroad	Argentina
Farias, Carlos	4	M	5	6	145	5	15	76			Chile
Farrell, Jason	4	M	5	10	170	12	31	70		Seattle Pacific	USA
Fazlagic, Said	2	D	6	0	155	1	25	69		Abroad	Bosnia
Feller, Michael	2	D	5	10	165	5	9	79			
Fernandes, Fernando	4	M	5	9	148	11	25	71			USA
Fernandes, Narciso	4	M	6	3	195	9	20	78		Wisconsin	USA
Fernandez, Jose	1	GK	6	1	182	1	24	70		FIU	Bolivia
Ferruzzi, Marco	4	M	5	9	170	10	15	70		UNC	USA
Feuer, Ian	1	GK	6	6	217	5	20	71		High School	USA
Figueroa, Vicente	2	D	5	6	140	10	22	77		High School	USA
Fitzgerald, Jay	1	GK	6	5	210	9	1	73			
Flores, Jorge	4	M	5	8	155	2	13	77		High School	USA
Foss, Byron	1	GK	6	5	195	10	6	79		SMU	USA
Fox, Chris	2	D	5	11	173	2	15	74			USA
Fraser, Iain	2	D	5	10	175	4	3	64		Hartwick	Canada
Frazelle, Jimmy	4	M	5	10	150	5	10	80			
Frias, Tony	4	M	5	9	170	11	16	79			USA
Friedel, Brad	1	GK	6	4	200	5	18	71		UCLA	USA
Friedland, Kevin	2	D	5	8	154	10	3	81		SMU	USA
Friend, Rob	6	F	6	4	205	1	23	81		Western Michigan	Canada
Galderisi, Giuseppe	6	F	5	8	150	3	22	63		Abroad	Italy
Garvey, John	6	F	5	10	170	3	26	69		Maryland	USA
Gaucho, Roberto	6	F	5	11	175	4	5	68		Abroad	Brazil
Geddes, Jorge	1	GK	5	10	170	4	14	80			
Gelnovatch, George	4	M	6	3	200	2	12	65		Virginia	USA
Gentile, Mike	4	M				5	24	74		Wisconsin	USA
Gentile, Pablo	2	D	6	0	165	2	12	78			
George, Sam	4	M	5	11	175	6	29	70		UCLA	USA
George, Seth	4	M	5	9	164	3	30	74		UCLA	USA
Gibbs, Corey	2	D	6	1	180	1	14	80		Brown	USA
Gibson, Neathan	6	F	6	3	190	5	14	70			South Africa
Gillen, Ted	4	M	5	10	160	8	16	68		Penn State	USA
Gilmar	4	M	6	1	170	5	16	70		Abroad	Brazil
Glenn, Jimmy	6	F	5	11	180	8	9	72		Clemson	USA
Glowienka, Tim	2	D	5	9	165	8	10	80		South Carolina	
Gomez, Julian	6	F	5	10	168	9	17	75			USA
Goode, Taly	1	GK	6	3	200	8	25	78		Marshall	USA
Goodlett, Ray	2	D	5	10	160	11	20	76		Howard	USA
Gori, Mario	2	D	5	7	160	1	6	73		Abroad	Argentina
Gorter, Edwin	4	M	5	10	170	7	6	63		Abroad	Holland
Gottardi, Jefferson	6	F	6	1	171	1	13	76		Abroad	Bolivia
Gough, Richard	2	D	6	3	185	4	16	62		Abroad	Scotland
Goulooze, Richard	2	D	6	0	180	11	16	67		Abroad	Holland
Gramenz, Don	2	D	5	7	150	3	20	71		Wisconsin-Milwaukee	USA
Green, Michael	2	D	6	4	190	7	16	78		Virginia	USA
Greenwood, Ricci	4	M	6	2	190	8	8	73		Seattle Pacific	USA
Gregor, Andrew	4	M	5	11	150	11	22	75		Portland	USA
Gregorio, Adolfo	4	M	5	9	165	10	1	82		UCLA	USA
Gros, Josh	0		6	0	165	6	25	82		Rutgers	USA
Guido	4	M	5	8	150	3	9	76		Abroad	Brazil
Guthrie, Rivers	4	M	6	0	180	9	25	72		Clemson	USA
Gutierrez, Henry	4	M	5	7	150	8	28	68		NC State	USA
Guzman, Daniel	6	F	5	10	170	12	31	65			Mexico
Haefner, Matthew	1	GK	6	4	210	12	16	81		Pennsylvania	USA
Hahnemann, Marcus	1	GK	6	2	220	6	15	72		Seattle Pacific	USA
Hamlett, Denis	2	D	5	11	190	1	9	69		George Mason	USA
Hancock, Bryheem	1	GK				3	1	80		Connecticut	USA
Hannig, T.J.	0					9	18	77		Indiana	
Harbor, Jean	6	F	6	1	195	9	19	65		Alabama A&M	Nigeria
Hardy, Tom	2	D	6	2	186						
Harrell, Matt	6	F				5	2	79			
Harrington, Pat	1	GK	6	3	190	4	17	65		Abroad	Canada
Harte, Bill	2	D	5	8	150	12	20	71		Loyola Chicago	USA
Harty, Rhett	4	M	6	1	178	3	1	70		Stanford	USA
Hattrup, Peter	4	M	5	11	175	3	30	64		Seattle Pacific	USA
Hayes, David	6	F	5	10	155	5	24	76		Wingate	USA
Haynes, Brian	4	M	6	0	168	5	7	62		Erskine	USA
Heaney, Aidan	1	GK	5	10	165	8	9	69		UNC Charlotte	USA
Hemmerich, Andrew	2	D	5	11	165	5	27	78			
Henderson, Josh	6	F	6	0	185	10	14	77			USA
Henderson, Rysehiem	6	F	6	4	215	3	21	72			
Henderson, Sean	3	D/M	6	0	160	7	25	72		UCLA	USA
Hennessey, Ian	4	M	6	0	175	1	10	67		?	USA
Hermosillo, Carlos	6	F	6	2	190	8	26	64		Abroad	Mexico
Hernandez, Luis	6	F	5	7	160	12	22	68		Abroad	Mexico
Hernandez, Ruben	6	F	5	4	145	2	19	65			Colombia
Hernandez, Ruben Dario	6	F	5	4	145	2	19	65			Colombia
Herrera, Marcelo	5	M/F	5	10	167	10	5	66		Abroad	Argentina
Hesmer, Will	1	GK	6	2	195	11	23	81		Wake Forest	USA
Hesse, Ken	2	D	6	0	170	2	3	72		Cal State Fullerton	
Holocher, Paul	4	M	5	10	160	5	24	69		Santa Clara	USA
Houser, Chris	2	D	6	3	195	3	9	73		Southern Connecticut St.	USA
Hucles, Phil	2	D	6	1	170	6	17	82		William & Mary	USA
Hudock, Dusty	1	GK	6	2	186	9	4	72		Washington	USA
Hudson, Kevin	0		6	3	210	10	22	81			
Hunjak, Goran	6	F	5	9	165	11	13	65		Abroad	Croatia
Hurtado, Eduardo	6	F	6	3	200	1	12	69		Abroad	Ecuador
Huseinovic, Mirsad	4	M	5	11	180	11	26	68		Brooklyn College	USA
Huwiler, Mike	4	M	5	11	160	1	4	72		Virginia	USA
Ianni, Tayt	2	D	5	6	160	12	6	71		UCLA	USA
Imler, Erik	2	D	5	9	165	6	1	71		Virginia	USA
Inneh, Ernest	6	F	5	10	165	9	25	70		Brooklyn College	
Iribarren, Ricardo	2	D	6	0	175	11	2	67		Abroad	Argentina
Iroha, Ben	2	D	5	8	154	11	29	69		Abroad	Nigeria
Isaacs, Peter	6	F	6	0	180	8	18	68			
Jachym, Rob	6	F	6	0	162	10	28	74		Hartford	USA
Jackson, Colby	6	F	6	0	175	2	22	77		Cal State Fullerton	
Jackson, Kevin	4	M	5	11	155	7	5	78			
Jahr, Chris	2	D						75		Wisconsin-Milwaukee	USA
Jair	4	M	5	8	155	12	17	74		Abroad	Cape Verde
Jairo Trellez, John	6	F	5	11	172	6	29	68		Abroad	Colombia
Jakins, Tahj	2	D	6	2	182	11	11	75		UCLA	USA
Jara, Guillermo	6	F	5	8	155	10	20	73		San Diego	USA
Jemmott, Kerwyn	0					8	24	78			Trinidad
John, Stern	6	F	6	1	180	10	30	76		Mercer County CC	Trinidad
Johnson, Brian	6	F	5	7	150	3	7	74		Fresno State	USA
Johnson, Rob	6	F	5	11	175	2	10	73		Rutgers	USA
Johnston, Mo	6	F	5	10	160	4	13	63		Abroad	Scotland
Jones, Gabe	4	M	5	8	155	1	21	73		St. Edward's	USA
Jones, John	4	M	6	0	165	11	23	73		Sacramento State	USA
Joseph, Miles	4	M	5	9	165	5	2	74		Clemson	USA
Kalonji, Nansha	6	F	6	1	175	2	16	73		Ramapo	Belgium
Karapetyan, Harut	6	F	5	9	165	4	7	72		Abroad	USA
Karn, Phil	0					7	3	75			
Kartes, Gus	6	F	5	11	160	10	12	81		High School	USA
Keegan, Paul	6	F	6	1	175	12	30	72		Boston College	Ireland
Kelderman, Kris	2	D	6	1	185	12	10	68		Virginia	USA
Keller, Josh	4	M	5	10	155	2	16	75		UCLA	USA
Kelly, Brian	4	M	5	7	140	10	6	74		Duke	USA
Ken-Kwofie, Louis	4	M	5	11	175	2	6	69			
